Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Saanvi Pandey,43,Female,Shimla,February,Summer,8,10,No,Pilgrimage
Pooja Chitkote,26,Male,Konkan,December,Monsoon,10,4,No,Business
Vihaan Waghmare,39,Male,,October,Winter,,8,Yes,Festival
Vivaan Joshi,,Female,Shimla,June,Winter,4,10,Yes,Business
Ananya Patil,33,,Shimla,March,Monsoon,9,5,Yes,Business
Pari Waghmare,30,Male,Manali,July,Summer,9,8,No,Festival
Sujeet Pandey,33,Female,Goa,February,,10,5,No,Pilgrimage
Rohit Joshi,39,Male,Konkan,October,Festival,4,8,Yes,Business
Ira More,,Female,Goa,January,Winter,15,10,,Holiday
Pari Sharma,32,Male,Goa,January,Festival,10,4,Yes,Pilgrimage
Arjun Iyer,45,Male,Shimla,March,Winter,6,2,Yes,Business
Sneha Patil,,Female,Goa,September,Monsoon,11,3,No,Holiday
Gaurav Ghosh,36,Female,Goa,March,Winter,5,7,Yes,
Ayaan Mishra,47,Female,Konkan,July,Summer,7,9,Yes,Pilgrimage
Sneha Chitkote,57,Male,Manali,September,Monsoon,11,6,No,Pilgrimage
Manisha Patil,49,Female,Kashmir,September,Monsoon,8,5,Yes,Pilgrimage
Ayaan Iyer,51,Male,Manali,March,Winter,,9,No,Pilgrimage
Reyansh Chitkote,29,,Vrindavan,November,Winter,8,4,Yes,Business
Gaurav Iyer,58,Male,,May,Monsoon,5,6,No,Business
Abhilasha Reddy,27,Male,Vrindavan,December,Monsoon,7,9,Yes,Holiday
Aarav Pandey,27,Male,Vrindavan,June,Festival,10,4,Yes,Business
Aditya Pawar,29,Male,Goa,September,Festival,15,4,Yes,Pilgrimage
Pooja Verma,,Female,Kashmir,March,Monsoon,9,5,No,Festival
Vivaan Chitkote,37,Male,Manali,May,Festival,7,8,Yes,Pilgrimage
Krishna Jadhav,22,Male,Kashmir,November,Summer,12,3,No,Festival
Reyansh Verma,55,Male,,May,Festival,15,9,No,Pilgrimage
Vivaan Chitkote,21,Female,Goa,September,Summer,,10,No,Pilgrimage
Ananya Ghosh,33,Female,Manali,October,Festival,9,3,Yes,Holiday
Myra Sharma,28,Male,Manali,October,Summer,9,3,,Business
Pari Patil,22,Female,Goa,February,Monsoon,4,7,Yes,Festival
Ananya Waghmare,58,Female,Goa,June,Monsoon,6,3,No,Festival
Sneha Ghosh,37,Male,Jaipur,June,Summer,2,1,No,Business
Ananya Naidu,29,Male,Goa,June,Festival,3,8,Yes,Business
Manisha Reddy,54,Male,Goa,March,Summer,8,7,No,Pilgrimage
,56,Male,Manali,February,Summer,8,9,Yes,Pilgrimage
Anika Naidu,44,Female,Goa,June,Summer,14,,No,Festival
Saanvi Reddy,54,Male,Jaipur,February,Winter,4,1,No,Holiday
Sunita Chitkote,38,Female,Goa,February,Summer,7,2,No,Pilgrimage
Aarav Mishra,41,Female,Jaipur,May,Festival,10,1,Yes,Pilgrimage
Krishna Yadav,53,Male,Jaipur,August,Monsoon,9,3,Yes,Business
Aadhya Pawar,48,Male,Goa,June,Summer,4,4,Yes,Business
Sujeet Ghosh,21,Male,Shimla,January,Monsoon,2,5,No,
Pari Chitkote,19,Male,Kashmir,December,Summer,8,3,Yes,Pilgrimage
Pooja Naidu,26,Male,Kashmir,November,Monsoon,3,5,No,Business
Prisha Pawar,40,Male,Kashmir,March,Festival,3,8,No,Festival
Ira More,40,Female,Vrindavan,October,Summer,9,4,Yes,Business
Sara More,39,,Kashmir,May,Festival,14,4,Yes,Holiday
Sneha Iyer,31,Male,Jaipur,October,Winter,4,,Yes,Holiday
Ishaan Yadav,36,Female,Kashmir,,Monsoon,5,8,Yes,Business
Sujeet Deshmukh,55,Male,Goa,June,Winter,6,9,,Pilgrimage
Ishaan More,33,Male,Konkan,April,Festival,9,,No,Holiday
Prisha Iyer,,Male,Kashmir,November,Festival,6,6,Yes,Festival
Ishaan More,42,Male,Shimla,December,Festival,14,3,Yes,Business
Pari Waghmare,44,Male,Goa,February,Winter,6,10,Yes,Festival
Vihaan Chitkote,29,Male,Jaipur,November,Summer,12,6,,Festival
,20,Male,,February,Summer,8,8,Yes,Festival
Sara Sharma,18,Female,Goa,,Summer,13,9,Yes,Festival
Ayaan Patil,50,Female,Kashmir,September,,4,10,Yes,Holiday
Aarav Iyer,47,Male,Manali,February,Festival,14,7,Yes,Holiday
Rohit Pawar,37,Female,Kashmir,June,Festival,10,5,No,Holiday
Gaurav More,45,Male,Manali,July,Winter,10,9,No,Business
Sunita Sharma,,Female,Jaipur,May,Festival,15,10,No,Business
,28,Female,Jaipur,December,Monsoon,2,1,No,Business
Rahul Naidu,21,Female,Manali,February,Winter,6,1,No,Festival
Kiran Singh,41,Female,Kashmir,January,Festival,2,2,Yes,Business
Saanvi Chitkote,42,Male,Goa,August,Monsoon,15,10,No,
Krishna Ghosh,24,Male,Kashmir,February,Summer,6,6,Yes,Business
Vihaan Naidu,48,Female,Manali,July,Winter,10,1,No,Pilgrimage
Kiran Kulkarni,23,Female,Goa,August,Monsoon,9,5,Yes,Pilgrimage
,41,Male,Konkan,June,Festival,9,10,Yes,Business
Aditya Thakur,27,Female,Kashmir,May,Monsoon,10,9,No,Business
Manisha Chitkote,46,Female,Kashmir,January,,15,8,Yes,Pilgrimage
Vihaan Patil,49,Male,Jaipur,December,,9,4,Yes,Pilgrimage
Ananya More,33,Male,Jaipur,December,Winter,8,7,Yes,Pilgrimage
Anika Jadhav,43,Male,Jaipur,June,Festival,4,9,Yes,Business
Ira Pawar,33,Male,Konkan,December,Summer,5,5,Yes,
Krishna Chitkote,19,Male,Manali,February,Festival,10,5,No,Pilgrimage
Ananya Patil,58,Male,,August,Summer,10,2,No,Festival
Sneha Kulkarni,47,Male,Manali,September,,6,3,Yes,Holiday
Prisha Waghmare,56,Male,Goa,April,Festival,13,9,Yes,Holiday
Sara Naidu,56,Male,Manali,August,Summer,3,1,No,Business
Pooja Iyer,25,Female,Goa,May,Monsoon,15,7,No,Pilgrimage
Sneha Deshmukh,41,Male,Vrindavan,November,Summer,9,10,No,Pilgrimage
Aadhya Sharma,19,Male,Manali,May,Summer,9,,No,Holiday
Kiran Patil,60,Male,Jaipur,April,Summer,5,6,No,Festival
Sujeet Thakur,49,Female,Manali,August,Summer,6,4,Yes,Holiday
Ayaan Naidu,55,Female,Goa,April,Winter,,5,Yes,Pilgrimage
Reyansh Yadav,19,Male,Manali,,Monsoon,13,,Yes,Business
Kiran Mishra,40,Male,Jaipur,February,Festival,10,5,Yes,Festival
Reyansh Kulkarni,54,Male,Jaipur,November,Summer,12,4,No,Holiday
Anika Ghosh,54,Female,Vrindavan,March,Summer,2,2,No,Festival
Ishaan Naidu,24,Male,Manali,September,Summer,13,8,,Business
Krishna Thakur,57,Female,Goa,June,,6,6,No,Festival
Anika Chitkote,32,Male,Vrindavan,December,Summer,14,7,Yes,Pilgrimage
,,Male,Manali,August,Monsoon,10,8,No,
Rohit Jadhav,54,Male,Goa,May,Festival,10,9,No,Holiday
Sujeet Naidu,,Male,Goa,June,Monsoon,7,10,Yes,Business
Reyansh Yadav,23,Female,Goa,February,,4,10,Yes,Holiday
Sai Deshmukh,,Male,,June,Monsoon,14,8,No,Pilgrimage
